original_record,call_time,description
"19:42    SUSPICIOUS PERSON                                       1904100186Occurred at Cohasset Rd/Rock Creek Rd, in Chico. RP CALLING TO RPT A MALE PACING AND WALKING BACK AND FORTH, YELLING PROFANITIES. UNKNOWN WHO IT IS, NOW WALKING SB ON THE SIDE OF COHASSET RD FROM ROCK CREEK RD. WMA LSW: BLK OR DRK GRN SHIRT, NFI // NO WEAPONS SEEN. . Disposition: Warning (Cite/Verbal).",19:42,"    SUSPICIOUS PERSON                                       1904100186Occurred at Cohasset Rd/Rock Creek Rd, in Chico. RP CALLING TO RPT A MALE PACING AND WALKING BACK AND FORTH, YELLING PROFANITIES. UNKNOWN WHO IT IS, NOW WALKING SB ON THE SIDE OF COHASSET RD FROM ROCK CREEK RD. WMA LSW: BLK OR DRK GRN SHIRT, NFI // NO WEAPONS SEEN. . Disposition: Warning (Cite/Verbal)."
"19:57    SUSPICIOUS AUTO                                         1904100187Officer initiated activity at 1 Mile West Of, W Liberty Rd/Block Rd, Gridley. 39 OUT WITH TWO VEHICLES. . Disposition: No Report Taken.",19:57,"    SUSPICIOUS AUTO                                         1904100187Officer initiated activity at 1 Mile West Of, W Liberty Rd/Block Rd, Gridley. 39 OUT WITH TWO VEHICLES. . Disposition: No Report Taken."
"20:04    TRESPASSING-PROWLING                                    1904100188Occurred at Red Lion Pizza on Skyway. , in Magalia. RP ADV THERE IS A MAN OUTSIDE REFUSING TO LEAVEDESC: WMA, HAT, SWEATER, TAN PANTS, HOLDING A PITCHER OF BEER. . Disposition: Unable To Locate.",20:04,"    TRESPASSING-PROWLING                                    1904100188Occurred at Red Lion Pizza on Skyway. , in Magalia. RP ADV THERE IS A MAN OUTSIDE REFUSING TO LEAVEDESC: WMA, HAT, SWEATER, TAN PANTS, HOLDING A PITCHER OF BEER. . Disposition: Unable To Locate."
"20:06    SUSPICIOUS AUTO                                         1904100189Officer initiated activity at W Liberty Rd, Gridley. . Disposition: Warning (Cite/Verbal).",20:06,"    SUSPICIOUS AUTO                                         1904100189Officer initiated activity at W Liberty Rd, Gridley. . Disposition: Warning (Cite/Verbal)."
"20:09    TRAFFIC STOP                                            1904100190Officer initiated activity at W Evans Reimer Rd/Township Rd, Gridley. . Disposition: Moving Violation Cite.",20:09,"    TRAFFIC STOP                                            1904100190Officer initiated activity at W Evans Reimer Rd/Township Rd, Gridley. . Disposition: Moving Violation Cite."
"20:14    LOG ENTRY FROM-CITIZEN NO ACTION TAKEN                  1904100191Officer initiated activity at Butte County Sheriff Dispatch, Gillick Way, Oroville. 32 HAS KEY 9. . Disposition: Log Note Only.",20:14,"    LOG ENTRY FROM-CITIZEN NO ACTION TAKEN                  1904100191Officer initiated activity at Butte County Sheriff Dispatch, Gillick Way, Oroville. 32 HAS KEY 9. . Disposition: Log Note Only."
"20:24    BURGLARY                                                1904100192Occurred on Monte Vista Ave, in Oroville. RP CALLING TO RPT JUST DISCOVERED 459, MULTIPLE FIREARMS TAKEN, UNKNOWN SUSPECT INFORMATION, UNK WHEN THIS HAPPENED. CAME IN THROUGH A BACK WINDOW. MULTIPLE FAMILY MEMBERS ON SCENE Cellular E911 Call: Service Class: W911. . Disposition: Report Taken.",20:24,"    BURGLARY                                                1904100192Occurred on Monte Vista Ave, in Oroville. RP CALLING TO RPT JUST DISCOVERED 459, MULTIPLE FIREARMS TAKEN, UNKNOWN SUSPECT INFORMATION, UNK WHEN THIS HAPPENED. CAME IN THROUGH A BACK WINDOW. MULTIPLE FAMILY MEMBERS ON SCENE Cellular E911 Call: Service Class: W911. . Disposition: Report Taken."
"20:32    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100193Occurred at Bronson Cell Tower on Bronson Ct. , in Oroville. CELL TOWER HANG UP, UNABLE TO CALL BACKCellular E911 Call: Service Class: W911. . Disposition: Log Note Only.",20:32,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100193Occurred at Bronson Cell Tower on Bronson Ct. , in Oroville. CELL TOWER HANG UP, UNABLE TO CALL BACKCellular E911 Call: Service Class: W911. . Disposition: Log Note Only."
"20:37    SUSPICIOUS PERSON                                       1904100194Officer initiated activity at Fair St/E 23RD St, Chico. 61 OUT WITH ONE ON A BIKE. . Disposition: Criminal Cite.",20:37,"    SUSPICIOUS PERSON                                       1904100194Officer initiated activity at Fair St/E 23RD St, Chico. 61 OUT WITH ONE ON A BIKE. . Disposition: Criminal Cite."
"20:38    TRANSFERRED CALL-ALLIED AGENCY                          1904100195Occurred at Hwy 99/WILSON Landing Rd, in Chico. TRANSFER TO CHP. . Disposition: Transfer Other Agency.",20:38,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100195Occurred at Hwy 99/WILSON Landing Rd, in Chico. TRANSFER TO CHP. . Disposition: Transfer Other Agency."
"21:06    SUSPICIOUS CIRCUMSTANCES                                1904100196Occurred at Colusa Hwy/Pennington Rd, in Gridley. RP CALLING TO RPT TWO PEOPLE ON BIKES HEADED TOWARDS GRIDLEY, ONE BIKE TOWING A TRLR AND ANOTHER UNK BIKE, NFI. CONCERNED CASING THE NEIGHBORHOOD. Service Class: RESD. . Disposition: No Report Taken.",21:06,"    SUSPICIOUS CIRCUMSTANCES                                1904100196Occurred at Colusa Hwy/Pennington Rd, in Gridley. RP CALLING TO RPT TWO PEOPLE ON BIKES HEADED TOWARDS GRIDLEY, ONE BIKE TOWING A TRLR AND ANOTHER UNK BIKE, NFI. CONCERNED CASING THE NEIGHBORHOOD. Service Class: RESD. . Disposition: No Report Taken."
"21:13    DOMESTIC VIOLENCE                                       1904100197Occurred on Feathervale Dr, in Oroville. RP CALLING TO REPORT HIS NEIGHBOR AND HIS G/F ARE IN A 415 TONIGHT. FEMALE WAS HEARD YELLING TO CALL THE POLICE AND NOW IT IS VERY QUIET. WEAPONS: UNK. . Disposition: No Report Taken.",21:13,"    DOMESTIC VIOLENCE                                       1904100197Occurred on Feathervale Dr, in Oroville. RP CALLING TO REPORT HIS NEIGHBOR AND HIS G/F ARE IN A 415 TONIGHT. FEMALE WAS HEARD YELLING TO CALL THE POLICE AND NOW IT IS VERY QUIET. WEAPONS: UNK. . Disposition: No Report Taken."
"21:14    TRAFFIC STOP                                            1904100198Officer initiated activity at Oroville Dam Blvd E/Feather River Blvd, Oroville. . Disposition: Warning (Cite/Verbal).",21:14,"    TRAFFIC STOP                                            1904100198Officer initiated activity at Oroville Dam Blvd E/Feather River Blvd, Oroville. . Disposition: Warning (Cite/Verbal)."
"21:20    TRANSFERRED CALL-ALLIED AGENCY                          1904100199Occurred at E/O on Lower Wyandotte Rd/Ophir Rd. , in Oroville. TRANSFER TO CHP, MALE THROWING ROCKS AT PASSING VEHICLES. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",21:20,"    TRANSFERRED CALL-ALLIED AGENCY                          1904100199Occurred at E/O on Lower Wyandotte Rd/Ophir Rd. , in Oroville. TRANSFER TO CHP, MALE THROWING ROCKS AT PASSING VEHICLES. Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"21:22    SUSPICIOUS AUTO                                         1904100200Officer initiated activity at 7-ELEVEN South, Monte Vista Ave, Oroville. . Disposition: Warning (Cite/Verbal).",21:22,"    SUSPICIOUS AUTO                                         1904100200Officer initiated activity at 7-ELEVEN South, Monte Vista Ave, Oroville. . Disposition: Warning (Cite/Verbal)."
"21:50    TRAFFIC STOP                                            1904100203Officer initiated activity at Old Olive Hwy/Morning Song Ln, Oroville. . Disposition: Warning (Cite/Verbal).",21:50,"    TRAFFIC STOP                                            1904100203Officer initiated activity at Old Olive Hwy/Morning Song Ln, Oroville. . Disposition: Warning (Cite/Verbal)."
"21:54    SUSPICIOUS AUTO                                         1904100204Officer initiated activity at Keifer Ave/Larkin Rd, Gridley. . Disposition: No Report Taken.",21:54,"    SUSPICIOUS AUTO                                         1904100204Officer initiated activity at Keifer Ave/Larkin Rd, Gridley. . Disposition: No Report Taken."
"21:56    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100205Occurred at Oroville Quincy Hwy/Olive Hwy, in Oroville. 911H, NOTHING HEARD. # IS UNABLE TO BE CALLED BACK.Cellular E911 Call: 1709 METERS AT 100%Service Class: W911. . Disposition: Log Note Only.",21:56,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100205Occurred at Oroville Quincy Hwy/Olive Hwy, in Oroville. 911H, NOTHING HEARD. # IS UNABLE TO BE CALLED BACK.Cellular E911 Call: 1709 METERS AT 100%Service Class: W911. . Disposition: Log Note Only."
"22:03    TRAFFIC STOP                                            1904100206Officer initiated activity at Oroville Quincy Hwy/Forbestown Rd, Oroville. . Disposition: Warning (Cite/Verbal).",22:03,"    TRAFFIC STOP                                            1904100206Officer initiated activity at Oroville Quincy Hwy/Forbestown Rd, Oroville. . Disposition: Warning (Cite/Verbal)."
"22:06    TRAFFIC STOP                                            1904100207Officer initiated activity at Olive Hwy/Miners Ranch Rd, Oroville. . Disposition: Warning (Cite/Verbal).",22:06,"    TRAFFIC STOP                                            1904100207Officer initiated activity at Olive Hwy/Miners Ranch Rd, Oroville. . Disposition: Warning (Cite/Verbal)."
"22:14    TRAFFIC STOP                                            1904100208Officer initiated activity at Hwy 99/ORD Ranch Rd, Gridley. . Disposition: Warning (Cite/Verbal).",22:14,"    TRAFFIC STOP                                            1904100208Officer initiated activity at Hwy 99/ORD Ranch Rd, Gridley. . Disposition: Warning (Cite/Verbal)."
"22:19    TRAFFIC STOP                                            1904100209Officer initiated activity at Hwy 99/OBERMEYER Ave, Gridley. . Disposition: Warning (Cite/Verbal).",22:19,"    TRAFFIC STOP                                            1904100209Officer initiated activity at Hwy 99/OBERMEYER Ave, Gridley. . Disposition: Warning (Cite/Verbal)."
"22:27    TRAFFIC STOP                                            1904100210Officer initiated activity at Larkin Rd/Clardy Ave, Gridley. . Disposition: Warning (Cite/Verbal).",22:27,"    TRAFFIC STOP                                            1904100210Officer initiated activity at Larkin Rd/Clardy Ave, Gridley. . Disposition: Warning (Cite/Verbal)."
"22:35    TRAFFIC STOP                                            1904100212Officer initiated activity at Arroyo Dr/Montrose Dr, Oroville. . Disposition: Warning (Cite/Verbal).",22:35,"    TRAFFIC STOP                                            1904100212Officer initiated activity at Arroyo Dr/Montrose Dr, Oroville. . Disposition: Warning (Cite/Verbal)."
"22:37    SUSPICIOUS PERSON                                       1904100213Officer initiated activity at Larkin Rd/E Gridley Rd, Gridley. . Disposition: No Report Taken.",22:37,"    SUSPICIOUS PERSON                                       1904100213Officer initiated activity at Larkin Rd/E Gridley Rd, Gridley. . Disposition: No Report Taken."
"22:42    WELFARE CHECK-MISCELLANEOUS                             1904100214Occurred at Olive Hwy/Arbol Ave, in Oroville. WOMAN WALKING  AND APPEARED TO BE CRYING, MAN WAS RUNNING AFTER HERDESC: WFA, BLK SWEATSHIRYT, SHORTSDESC: MALE, BLUE SHIRT, BLK SWEATPANTS. . Disposition: Unable To Locate.",22:42,"    WELFARE CHECK-MISCELLANEOUS                             1904100214Occurred at Olive Hwy/Arbol Ave, in Oroville. WOMAN WALKING  AND APPEARED TO BE CRYING, MAN WAS RUNNING AFTER HERDESC: WFA, BLK SWEATSHIRYT, SHORTSDESC: MALE, BLUE SHIRT, BLK SWEATPANTS. . Disposition: Unable To Locate."
"22:44    WARRANT-SO                                              1904100215Occurred at Gold Country Casino on Olive Hwy. , in Oroville. . Disposition: Unable To Locate.",22:44,"    WARRANT-SO                                              1904100215Occurred at Gold Country Casino on Olive Hwy. , in Oroville. . Disposition: Unable To Locate."
"22:54    SUSPICIOUS CIRCUMSTANCES                                1904100216Occurred on Forbestown Rd, in Forbestown. CALLER TRANSFERRED TO CHP TO REPORT A SUBJ SPEEDING UP AND DOWN THE ROADWAY. Service Class: RESD. . Disposition: Transfer Other Agency.",22:54,"    SUSPICIOUS CIRCUMSTANCES                                1904100216Occurred on Forbestown Rd, in Forbestown. CALLER TRANSFERRED TO CHP TO REPORT A SUBJ SPEEDING UP AND DOWN THE ROADWAY. Service Class: RESD. . Disposition: Transfer Other Agency."
"22:56    WELFARE CHECK-MISCELLANEOUS                             1904100218Occurred at In A Trailer Behind The Resd on 14TH St. , in Oroville. OPD TXFRRP STANDING BY IN A BLUE/BLK CHEVY WITH A RAIDERS STICKER ON THE BACKRP ADV HER STEP FATHER TEXT HER SAYING THAT THE DEAMONS GOT HIM, SHE CAME TO THE RESD TO CHECK ON HIM AND HE IS DISTRAUGHT. RP REQ MSWC, ADV THAT SHE BELEIVES THAT HE WILL GO 148, UNK WEAPONS. NEG HBD/HANS. RP ADV HE HAS TRIED TO KILL HIM SELF IN THE PAST. SUBJ: Cellular E911 Call: Service Class: WPH2. . Disposition: No Report Taken.",22:56,"    WELFARE CHECK-MISCELLANEOUS                             1904100218Occurred at In A Trailer Behind The Resd on 14TH St. , in Oroville. OPD TXFRRP STANDING BY IN A BLUE/BLK CHEVY WITH A RAIDERS STICKER ON THE BACKRP ADV HER STEP FATHER TEXT HER SAYING THAT THE DEAMONS GOT HIM, SHE CAME TO THE RESD TO CHECK ON HIM AND HE IS DISTRAUGHT. RP REQ MSWC, ADV THAT SHE BELEIVES THAT HE WILL GO 148, UNK WEAPONS. NEG HBD/HANS. RP ADV HE HAS TRIED TO KILL HIM SELF IN THE PAST. SUBJ: Cellular E911 Call: Service Class: WPH2. . Disposition: No Report Taken."
"23:06    TRAFFIC STOP                                            1904100219Officer initiated activity at Big Bend Rd/Nobb Rd, Concow. . Disposition: Warning (Cite/Verbal).",23:06,"    TRAFFIC STOP                                            1904100219Officer initiated activity at Big Bend Rd/Nobb Rd, Concow. . Disposition: Warning (Cite/Verbal)."
"23:09    TRAFFIC STOP                                            1904100220Officer initiated activity at Oroville Dam Blvd W/Hwy 70, Oroville. . Disposition: Warning (Cite/Verbal).",23:09,"    TRAFFIC STOP                                            1904100220Officer initiated activity at Oroville Dam Blvd W/Hwy 70, Oroville. . Disposition: Warning (Cite/Verbal)."
"23:11    RESTRAINING ORDER VIOLATIONS                            1904100221Occurred on Big Bend Rd, in Concow. RP ADV THAT A SUBJ  IS AT THE LOC POSS WITH 2 OR 3  OTHER SUBJS YELLING AT THE RESD. RP ADV SHE AND HER FAMILY ARE INSIDE SEP. UNK WEAPONS, POSS HBD/HANS. Cellular E911 Call: Service Class: W911. . Disposition: No Report Taken.",23:11,"    RESTRAINING ORDER VIOLATIONS                            1904100221Occurred on Big Bend Rd, in Concow. RP ADV THAT A SUBJ  IS AT THE LOC POSS WITH 2 OR 3  OTHER SUBJS YELLING AT THE RESD. RP ADV SHE AND HER FAMILY ARE INSIDE SEP. UNK WEAPONS, POSS HBD/HANS. Cellular E911 Call: Service Class: W911. . Disposition: No Report Taken."
"23:15    SUSPICIOUS PERSON                                       1904100222Officer initiated activity at Plumas Ave, Oroville. . Disposition: No Report Taken.",23:15,"    SUSPICIOUS PERSON                                       1904100222Officer initiated activity at Plumas Ave, Oroville. . Disposition: No Report Taken."
"23:29    TRAFFIC STOP                                            1904100223Officer initiated activity at Georgia Pacific Way/S 5TH Ave, Oroville. . Disposition: Arrest Made.",23:29,"    TRAFFIC STOP                                            1904100223Officer initiated activity at Georgia Pacific Way/S 5TH Ave, Oroville. . Disposition: Arrest Made."
"23:36    ASSIST TO OTHER AGENCY                                  1904100224Occurred on Ord Ranch Rd, in Gridley. RP CALLING TO REPORT LOOSE DOGS IN THE AREA. RP ADV SHE SAW THEM IN THE AREA CHASING FARM ANIMALS.DOG DESC: SHEPARD AND UNK DESC ON THE OTHER DOG. . Disposition: No Report Taken.",23:36,"    ASSIST TO OTHER AGENCY                                  1904100224Occurred on Ord Ranch Rd, in Gridley. RP CALLING TO REPORT LOOSE DOGS IN THE AREA. RP ADV SHE SAW THEM IN THE AREA CHASING FARM ANIMALS.DOG DESC: SHEPARD AND UNK DESC ON THE OTHER DOG. . Disposition: No Report Taken."
"23:50    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100225Occurred on Rosita Way, in Oroville. CHILD ON THE PHONE. SOUNDS OF SOMEONE GROANING IN THE BACKGROUND. CHILD TRYING TO WAKE UP GRANDMA. UNABLE TO SPEAK WITH AN ADULT. Lon:-121.54419Service Class: WPH29 METERS 90 PERCENT. . Disposition: Canceled.",23:50,"    911 HANGUP-OPEN LINE-UNKNOWN TROUBLE                    1904100225Occurred on Rosita Way, in Oroville. CHILD ON THE PHONE. SOUNDS OF SOMEONE GROANING IN THE BACKGROUND. CHILD TRYING TO WAKE UP GRANDMA. UNABLE TO SPEAK WITH AN ADULT. Lon:-121.54419Service Class: WPH29 METERS 90 PERCENT. . Disposition: Canceled."
"23:58    SUSPICIOUS PERSON                                       1904100226Occurred on Cleveland Ave, in Chico. CPD TXFRRP ADV A SUBJ IS OUTSIDE WITH A FLASH LIGHT LOOKING AROUND CARS. NEG DESC. RP REQ AREA CHECK. Cellular E911 Call: Service Class: WPH2. . Disposition: No Report Taken.",23:58,"    SUSPICIOUS PERSON                                       1904100226Occurred on Cleveland Ave, in Chico. CPD TXFRRP ADV A SUBJ IS OUTSIDE WITH A FLASH LIGHT LOOKING AROUND CARS. NEG DESC. RP REQ AREA CHECK. Cellular E911 Call: Service Class: WPH2. . Disposition: No Report Taken."
"00:06    SUSPICIOUS AUTO                                         1904110002Officer initiated activity at Montgomery St, Oroville. . Disposition: No Report Taken.",00:06,"    SUSPICIOUS AUTO                                         1904110002Officer initiated activity at Montgomery St, Oroville. . Disposition: No Report Taken."
"00:07    SUSPICIOUS CIRCUMSTANCES                                1904110003Occurred at Sweetbriar Dr/Keefer Rd, in Chico. RP CALLING TO REPORT SHE IS OUT FEEDING HER ANIMALS AND CAN HEAR PEOPLE TALKING AND DOGS BARKING. RP ADV IT SEEMS SUSC BECAUSE NO ONE IS USUALLY OUT IN THE AREA AT THIS TIME. RP REQUESTING MSEP. . Disposition: Unable To Locate.",00:07,"    SUSPICIOUS CIRCUMSTANCES                                1904110003Occurred at Sweetbriar Dr/Keefer Rd, in Chico. RP CALLING TO REPORT SHE IS OUT FEEDING HER ANIMALS AND CAN HEAR PEOPLE TALKING AND DOGS BARKING. RP ADV IT SEEMS SUSC BECAUSE NO ONE IS USUALLY OUT IN THE AREA AT THIS TIME. RP REQUESTING MSEP. . Disposition: Unable To Locate."
"00:10    SUSPICIOUS AUTO                                         1904110004Officer initiated activity at Hwy 162 W/Riceton Hwy, Biggs. . Disposition: No Report Taken.",00:10,"    SUSPICIOUS AUTO                                         1904110004Officer initiated activity at Hwy 162 W/Riceton Hwy, Biggs. . Disposition: No Report Taken."
"00:16    TRAFFIC STOP                                            1904110005Officer initiated activity at Grand Ave/Tehama Ave, Oroville. . Disposition: Warning (Cite/Verbal).",00:16,"    TRAFFIC STOP                                            1904110005Officer initiated activity at Grand Ave/Tehama Ave, Oroville. . Disposition: Warning (Cite/Verbal)."
"00:41    TRAFFIC STOP                                            1904110006Officer initiated activity at Keefer Rd/Hwy 99, Chico. . Disposition: Warning (Cite/Verbal).",00:41,"    TRAFFIC STOP                                            1904110006Officer initiated activity at Keefer Rd/Hwy 99, Chico. . Disposition: Warning (Cite/Verbal)."
"00:45    TRAFFIC STOP                                            1904110007Officer initiated activity at Gold Country Casino, Olive Hwy, Oroville. . Disposition: Criminal Cite.",00:45,"    TRAFFIC STOP                                            1904110007Officer initiated activity at Gold Country Casino, Olive Hwy, Oroville. . Disposition: Criminal Cite."
"00:47    SUSPICIOUS AUTO                                         1904110008Occurred on Old Honcut Rd, in Palermo. RP ADV A VAN THAT SAYS ""ACE PLUMBING"" ON THE SIDE  IS PARKED IN HIS DRIVEWAY, NO ONE SEEN IN OR AROUND IT. Cellular E911 Call: Service Class: W911. . Disposition: Outside Assist.",00:47,"    SUSPICIOUS AUTO                                         1904110008Occurred on Old Honcut Rd, in Palermo. RP ADV A VAN THAT SAYS ""ACE PLUMBING"" ON THE SIDE  IS PARKED IN HIS DRIVEWAY, NO ONE SEEN IN OR AROUND IT. Cellular E911 Call: Service Class: W911. . Disposition: Outside Assist."
"01:01    TRAFFIC STOP                                            1904110009Officer initiated activity at Gold Country Casino, Olive Hwy, Oroville. . Disposition: Warning (Cite/Verbal).",01:01,"    TRAFFIC STOP                                            1904110009Officer initiated activity at Gold Country Casino, Olive Hwy, Oroville. . Disposition: Warning (Cite/Verbal)."
"01:10    SUSPICIOUS PERSON                                       1904110010Officer initiated activity at Gold Country Casino, Olive Hwy, Oroville. . Disposition: Arrest Made.",01:10,"    SUSPICIOUS PERSON                                       1904110010Officer initiated activity at Gold Country Casino, Olive Hwy, Oroville. . Disposition: Arrest Made."
"01:16    EXTRA PATROL-MISCELLANEOUS                              1904110012Officer initiated activity at Meridian Rd/W Sacramento Ave, Chico. . Disposition: No Report Taken.",01:16,"    EXTRA PATROL-MISCELLANEOUS                              1904110012Officer initiated activity at Meridian Rd/W Sacramento Ave, Chico. . Disposition: No Report Taken."
"01:20    TRAFFIC STOP                                            1904110013Officer initiated activity at East Ave/Esplanade, Chico. . Disposition: Warning (Cite/Verbal).",01:20,"    TRAFFIC STOP                                            1904110013Officer initiated activity at East Ave/Esplanade, Chico. . Disposition: Warning (Cite/Verbal)."
"01:25    WELFARE CHECK-MISCELLANEOUS                             1904110014Occurred on Middlehoff Ln, in Oroville. 110 METERS AT 90%  LAT 39.49873000 LON -121.581391. . Disposition: No Report Taken.",01:25,"    WELFARE CHECK-MISCELLANEOUS                             1904110014Occurred on Middlehoff Ln, in Oroville. 110 METERS AT 90%  LAT 39.49873000 LON -121.581391. . Disposition: No Report Taken."
"01:31    TRAFFIC STOP                                            1904110016Officer initiated activity at E Lassen Ave/Joshua Tree Rd, Chico. . Disposition: Warning (Cite/Verbal).",01:31,"    TRAFFIC STOP                                            1904110016Officer initiated activity at E Lassen Ave/Joshua Tree Rd, Chico. . Disposition: Warning (Cite/Verbal)."
"01:38    SUSPICIOUS PERSON                                       1904110017Officer initiated activity at Wycliff Way, Magalia. . Disposition: Arrest Made.",01:38,"    SUSPICIOUS PERSON                                       1904110017Officer initiated activity at Wycliff Way, Magalia. . Disposition: Arrest Made."
"01:42    TRAFFIC STOP                                            1904110018Officer initiated activity at Hwy 70/OROVILLE Dam Blvd W, Oroville. . Disposition: Warning (Cite/Verbal).",01:42,"    TRAFFIC STOP                                            1904110018Officer initiated activity at Hwy 70/OROVILLE Dam Blvd W, Oroville. . Disposition: Warning (Cite/Verbal)."
"02:35    ASSIST TO OTHER AGENCY                                  1904110019Officer initiated activity at Olive Hwy/Oroville Dam Blvd E, Oroville. . Disposition: Outside Assist.",02:35,"    ASSIST TO OTHER AGENCY                                  1904110019Officer initiated activity at Olive Hwy/Oroville Dam Blvd E, Oroville. . Disposition: Outside Assist."
"03:14    TRAFFIC STOP                                            1904110021Officer initiated activity at Long Bar Rd/Arrow Way, Oroville. . Disposition: Arrest Made.",03:14,"    TRAFFIC STOP                                            1904110021Officer initiated activity at Long Bar Rd/Arrow Way, Oroville. . Disposition: Arrest Made."
"03:22    TRANSFERRED CALL-ALLIED AGENCY                          1904110022Occurred on Bridlewood Ct, in Chico. TXFR TO CAL FIRE FOR MEDICAL.Service Class: RESD. . Disposition: Transfer Other Agency.",03:22,"    TRANSFERRED CALL-ALLIED AGENCY                          1904110022Occurred on Bridlewood Ct, in Chico. TXFR TO CAL FIRE FOR MEDICAL.Service Class: RESD. . Disposition: Transfer Other Agency."
"04:03    TRAFFIC STOP                                            1904110023Officer initiated activity at South Park Dr/Shaw Cir, Magalia. . Disposition: Warning (Cite/Verbal).",04:03,"    TRAFFIC STOP                                            1904110023Officer initiated activity at South Park Dr/Shaw Cir, Magalia. . Disposition: Warning (Cite/Verbal)."
"04:47    TRANSFERRED CALL-ALLIED AGENCY                          1904110025Occurred on Leta Ln, in Oroville. Service Class: RESD. . Disposition: Transfer Other Agency.",04:47,"    TRANSFERRED CALL-ALLIED AGENCY                          1904110025Occurred on Leta Ln, in Oroville. Service Class: RESD. . Disposition: Transfer Other Agency."
"05:58    TRANSFERRED CALL-ALLIED AGENCY                          1904110026Occurred at Skyway/Honey Run Rd, in Chico. TXFR TO CHP.Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency.",05:58,"    TRANSFERRED CALL-ALLIED AGENCY                          1904110026Occurred at Skyway/Honey Run Rd, in Chico. TXFR TO CHP.Cellular E911 Call: Service Class: W911. . Disposition: Transfer Other Agency."
"06:01    ASSIST TO OTHER AGENCY                                  1904110027Officer initiated activity at Skyway/Spanish Garden Dr, Chico. WITH A TC - REQ MEDICAL CODE 2. . Disposition: Outside Assist.",06:01,"    ASSIST TO OTHER AGENCY                                  1904110027Officer initiated activity at Skyway/Spanish Garden Dr, Chico. WITH A TC - REQ MEDICAL CODE 2. . Disposition: Outside Assist."
